,IPEDS_Hispanic,Program_Desc_Final
672,Non-Hispanic,Business Administration - MBA
673,Non-Hispanic,Business Administration - MBA
674,Non-Hispanic,Business Administration - MBA
675,Non-Hispanic,Business Administration - MBA
678,Non-Hispanic,Business Administration - MBA
679,Non-Hispanic,Business Administration - MBA
681,Non-Hispanic,Business Administration - MBA
686,Non-Hispanic,Business Administration - MBA
687,Non-Hispanic,Business Administration - MBA
692,Non-Hispanic,Business Administration - MBA
694,Non-Hispanic,Business Administration - MBA
697,Hispanic,Business Administration - MBA
699,Non-Hispanic,Business Administration - MBA
700,Non-Hispanic,Business Administration - MBA
702,Non-Hispanic,Business Administration - MBA
706,Non-Hispanic,Business Administration - MBA
709,Non-Hispanic,Business Administration - MBA
710,Non-Hispanic,Business Administration - MBA
712,Non-Hispanic,Business Administration - MBA
713,Non-Hispanic,Business Administration - MBA
714,Non-Hispanic,Business Administration - MBA
716,Non-Hispanic,Business Administration - MBA
717,Non-Hispanic,Business Administration - MBA
720,Non-Hispanic,Business Administration - MBA
728,Hispanic,Business Administration - MBA
732,Non-Hispanic,Business Administration - MBA
733,Non-Hispanic,Business Administration - MBA
736,Non-Hispanic,Business Administration - MBA
737,Non-Hispanic,Business Administration - MBA
739,Non-Hispanic,Business Administration - MBA
740,Non-Hispanic,Business Administration - MBA
744,Non-Hispanic,Business Administration - MBA
746,Non-Hispanic,Business Administration - MBA
747,Non-Hispanic,Business Administration - MBA
750,Non-Hispanic,Business Administration - MBA
752,Non-Hispanic,Business Administration - MBA
754,Non-Hispanic,Business Administration - MBA
758,Non-Hispanic,Business Administration - MBA
763,Non-Hispanic,Business Administration - MBA
764,Non-Hispanic,Business Administration - MBA
766,Hispanic,Business Administration - MBA
768,Non-Hispanic,Business Administration - MBA
769,Hispanic,Business Administration - MBA
775,Non-Hispanic,Business Administration - MBA
777,Non-Hispanic,Business Administration - MBA
778,Non-Hispanic,Business Administration - MBA
779,Hispanic,Business Administration - MBA
780,Non-Hispanic,Business Administration - MBA
781,Hispanic,Business Administration - MBA
784,Non-Hispanic,Business Administration - MBA
787,Non-Hispanic,Business Administration - MBA
788,Non-Hispanic,Business Administration - MBA
791,Non-Hispanic,Business Administration - MBA
794,Non-Hispanic,Business Administration - MBA
795,Non-Hispanic,Business Administration - MBA
798,Hispanic,Business Administration - MBA
804,Non-Hispanic,Business Administration - MBA
805,Non-Hispanic,Business Administration - MBA
806,Non-Hispanic,Business Administration - MBA
809,Non-Hispanic,Business Administration - MBA
810,Hispanic,Business Administration - MBA
813,Non-Hispanic,Business Administration - MBA
815,Non-Hispanic,Business Administration - MBA
817,Non-Hispanic,Business Administration - MBA
821,Non-Hispanic,Business Administration - MBA
823,Non-Hispanic,Business Administration - MBA
825,Non-Hispanic,Business Administration - MBA
826,Non-Hispanic,Business Administration - MBA
830,Non-Hispanic,Business Administration - MBA
831,Non-Hispanic,Business Administration - MBA
833,Non-Hispanic,Business Administration - MBA
836,Non-Hispanic,Business Administration - MBA
838,Non-Hispanic,Business Administration - MBA
839,Non-Hispanic,Business Administration - MBA
846,Non-Hispanic,Business Administration - MBA
847,Non-Hispanic,Business Administration - MBA
848,Non-Hispanic,Business Administration - MBA
850,Non-Hispanic,Business Administration - MBA
852,Non-Hispanic,Business Administration - MBA
861,Non-Hispanic,Business Administration - MBA
862,Non-Hispanic,Business Administration - MBA
864,Non-Hispanic,Business Administration - MBA
866,Non-Hispanic,Business Administration - MBA
868,Non-Hispanic,Business Administration - MBA
869,Non-Hispanic,Business Administration - MBA
871,Non-Hispanic,Business Administration - MBA
874,Non-Hispanic,Business Administration - MBA
879,Hispanic,Business Administration - MBA
883,Non-Hispanic,Business Administration - MBA
885,Non-Hispanic,Business Administration - MBA
886,Non-Hispanic,Business Administration - MBA
889,Non-Hispanic,Business Administration - MBA
890,Non-Hispanic,Business Administration - MBA
891,Non-Hispanic,Business Administration - MBA
892,Hispanic,Business Administration - MBA
895,Non-Hispanic,Business Administration - MBA
896,Non-Hispanic,Business Administration - MBA
897,Non-Hispanic,Business Administration - MBA
899,Non-Hispanic,Business Administration - MBA
900,Non-Hispanic,Business Administration - MBA
902,Non-Hispanic,Business Administration - MBA
907,Non-Hispanic,Business Administration - MBA
908,Non-Hispanic,Business Administration - MBA
910,Non-Hispanic,Business Administration - MBA
911,Non-Hispanic,Business Administration - MBA
912,Non-Hispanic,Business Administration - MBA
913,Non-Hispanic,Business Administration - MBA
914,Non-Hispanic,Business Administration - MBA
917,Non-Hispanic,Business Administration - MBA
